"","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","centrality"
"DSP",0,0,0,0,0,7,25,56,91,154,243,380,563,18.644811588538
"RPS19",0,0,1,12,22,48,63,69,76,80,92,124,173,18.6186296932629
"MEIS2",0,0,0,0,0,5,33,60,100,155,233,346,528,18.6039997683795
"RPL7",0,0,0,3,17,36,58,69,76,79,99,153,254,18.5122256129437
"RPL32",0,0,0,3,14,34,58,66,78,87,100,156,254,18.5086960067437
"PATJ",0,0,0,0,0,5,22,56,91,150,238,372,553,18.4667751532913
"RPS6",0,0,0,3,13,31,54,67,78,86,107,148,246,18.4249616426008
"PTPRZ1",0,0,0,0,0,3,25,58,96,148,230,354,523,18.3344001767859
"VGLL1",0,0,0,0,0,10,27,49,82,136,217,325,469,18.3318050639063
"RPS25",0,0,0,7,22,42,61,71,78,84,95,114,160,18.331126160819
"DHRS3",0,0,0,0,0,1,26,54,94,156,243,388,581,18.2815837563647
"GYPC",0,0,0,0,0,3,19,46,96,145,259,367,563,18.2758868193782
"RPL36",0,0,0,2,17,37,57,64,78,86,101,132,202,18.2552352103291
"PIK3C2G",0,0,0,0,0,5,16,45,86,147,223,343,524,18.1208730536892
"AP1M2",0,0,0,0,0,5,22,48,84,135,212,330,502,18.1205647708078
"LSR",0,0,0,0,0,2,17,48,87,139,214,360,538,17.959057510489
"RPL35",0,0,0,0,3,20,42,61,76,91,119,189,310,17.9550111392094
"PLAT",0,0,0,0,1,8,12,38,74,141,195,316,443,17.9369843742803
"RPL37A",0,0,0,1,12,33,57,65,73,82,96,124,197,17.9314943297139
"TMEM54",0,0,0,0,0,1,19,47,91,149,224,349,538,17.9269835959886
"RPL23",0,0,0,4,18,30,53,68,73,79,87,114,158,17.9101053724633
"RPS27",0,0,0,5,17,31,50,61,73,80,95,112,140,17.8452303241897
"RPL19",0,0,0,0,7,17,44,64,77,83,107,159,263,17.8096294447024
"OCIAD2",0,0,0,0,0,2,22,49,83,130,201,302,468,17.7689608017933
"ITGA4",0,0,0,0,0,3,15,44,82,131,204,312,465,17.7079366568616
"LYPD6B",0,0,0,0,0,2,16,45,74,126,208,327,497,17.6686101636135
"RPS15",0,0,0,0,1,7,30,58,76,97,140,223,349,17.6536880571807
"RPL23A",0,0,0,0,8,18,43,64,75,85,101,136,218,17.6014829963532
"CDH3",0,0,0,0,0,4,15,39,76,121,190,301,461,17.5886359454142
"PHACTR3",0,0,0,0,0,5,13,38,72,114,205,300,463,17.5753183879147
"ANXA1",0,0,0,0,0,1,20,40,69,126,202,320,511,17.5329112048311
"RPL31",0,0,0,4,13,31,48,61,71,77,84,100,131,17.5235694618449
"MUC15",0,0,0,0,0,2,19,44,69,117,198,301,454,17.513687335749
"RPS29",0,0,0,1,11,21,48,58,75,82,96,117,156,17.5036328098273
"RPL10",0,0,0,0,3,17,40,56,73,81,97,145,241,17.3505503719988
"SPATS2L",0,0,0,0,0,1,15,38,69,121,188,308,485,17.3016094766494
"RPS7",0,0,0,0,0,15,40,56,67,83,111,177,296,17.2681046135125
"GABRP",0,0,0,0,0,3,15,30,61,118,193,277,429,17.2220165040862
"SOX5",0,0,0,0,0,0,14,44,79,121,197,308,491,17.2219678730044
"RPL39",0,0,0,0,8,25,48,64,71,77,83,109,156,17.2052785172552
"RPS3A",0,0,0,0,2,15,34,57,70,80,99,147,234,17.1703107873293
"CXADR",0,0,0,0,0,0,12,35,75,119,200,338,515,17.1461028864376
"RPL27A",0,0,0,1,9,22,41,60,70,80,87,99,131,17.1223470174496
"NSG1",0,0,0,0,0,0,16,40,74,129,188,294,450,17.121290216184
"PBX1",0,0,0,0,0,0,19,37,76,121,187,288,432,17.0861423374608
"RPL18",0,0,0,0,2,15,40,58,70,77,89,138,222,17.0839965777703
"HHIP",0,0,0,0,0,2,7,34,70,112,181,275,439,16.9522750746244
"MOXD1",0,0,0,0,0,3,9,27,62,107,176,273,449,16.9459212809376
"MYL6",0,0,0,0,0,3,14,27,53,98,171,261,413,16.8781319763036
"RPL29",0,0,0,0,0,10,29,53,69,80,108,158,253,16.8352798504256
"RPL37",0,0,0,1,5,18,34,58,66,78,85,101,133,16.83059397209
"RPL9",0,0,0,0,2,15,35,61,69,76,88,113,177,16.7738690212449
"C2orf54",0,0,0,0,0,1,15,29,55,101,166,277,403,16.7551127628081
"RPS8",0,0,0,0,2,15,38,57,70,76,83,113,174,16.7387413162491
"PLD3",0,0,0,0,0,0,8,34,68,107,187,297,467,16.7323849311005
"RPS16",0,0,0,0,0,8,28,48,66,76,102,164,266,16.70284327842
"GRHL2",0,0,0,0,0,0,14,34,58,101,172,270,423,16.6452434667836
"VCAN",0,0,0,0,0,0,5,34,69,113,186,302,472,16.6379385470404
"RPL8",0,0,0,0,0,8,22,43,66,83,107,161,265,16.6347888572568
"MYL12A",0,0,0,0,0,0,15,31,52,106,178,265,421,16.6121596248381
"RPS24",0,0,0,0,0,8,29,55,67,79,96,138,233,16.5722530407807
"CAPG",0,0,0,0,0,0,10,32,61,103,165,268,412,16.5009333396889
"RPL41",0,0,0,0,0,6,28,52,70,84,105,142,205,16.4956927131773
"SERPINF1",0,0,0,0,0,0,9,29,61,108,175,265,421,16.4923855862611
"RPS27A",0,0,0,0,2,14,28,55,70,76,86,112,141,16.4798407488107
"RPL5",0,0,0,0,0,8,22,46,59,79,99,153,248,16.4714773062407
"PEG3",0,0,0,0,0,0,5,28,65,121,181,285,433,16.4646670140523
"RPL27",0,0,0,0,0,7,24,50,65,81,101,139,232,16.4637690075312
"LSAMP",0,0,0,0,0,1,5,27,61,101,169,265,426,16.4493351866256
"RPS17",0,0,0,0,0,5,31,54,65,81,94,130,237,16.4288995605728
"PCSK1N",0,0,0,0,0,0,4,30,59,116,174,293,476,16.4201060366834
"RPL13A",0,0,0,0,2,17,35,53,68,75,79,89,135,16.3655305708304
"RPL14",0,0,0,0,1,14,26,56,66,74,84,109,150,16.3322993056749
"H2AFZ",0,0,0,0,1,3,6,20,39,69,146,261,406,16.2637692016333
"ERRFI1",0,0,0,0,0,0,3,27,58,106,169,300,477,16.248593372797
"STAP2",0,0,0,0,0,0,6,24,52,103,166,271,433,16.2033024765579
"RPL34",0,0,0,0,3,10,29,52,65,74,86,96,118,16.1960730346867
"ID3",0,0,0,0,0,0,5,24,59,100,168,276,416,16.182042296687
"MAL2",0,0,0,0,0,0,6,28,54,97,162,259,403,16.1626618165816
"RPL7A",0,0,0,0,0,10,24,48,62,73,84,116,179,16.0953309182929
"RPL11",0,0,0,0,0,11,26,54,71,77,83,104,143,16.0645064332157
"HEY2",0,0,0,0,1,2,7,13,43,84,147,230,350,16.033937338819
"RPS13",0,0,0,0,0,9,25,49,64,77,87,109,151,16.0010930091634
"RPL35A",0,0,0,0,0,8,28,46,61,78,89,112,150,15.9922742577227
"RPS15A",0,0,0,0,0,7,24,47,65,76,85,109,176,15.9908433089976
"MET",0,0,0,0,0,0,4,20,53,93,168,273,405,15.9412531673119
"PKP2",0,0,0,0,0,0,5,22,47,99,154,256,384,15.8988766810339
"ENPP2",0,0,0,0,0,0,3,24,59,99,149,252,405,15.8978061610638
"RPS11",0,0,0,0,1,10,25,43,64,75,85,93,118,15.8728041132744
"MEGF10",0,0,0,0,0,0,5,18,55,93,148,248,416,15.8720953081803
"LMX1A",0,0,1,5,10,15,20,27,35,50,63,77,116,15.8673594512219
"ATP5G2",0,0,0,0,0,0,4,17,42,107,162,257,424,15.8202539593322
"C4orf19",0,0,0,0,0,0,6,21,50,83,140,248,383,15.8024228044291
"SPC25",0,0,0,0,2,6,13,30,53,74,95,119,159,15.7912274726436
"RPL24",0,0,0,0,0,4,23,49,61,74,89,109,157,15.7617842561863
"OAF",0,0,0,0,0,0,1,23,58,101,157,260,400,15.6804157420426
"SELENOP",0,0,0,0,0,0,1,23,55,94,156,265,415,15.6531481493467
"EEF1A1",0,0,0,0,1,7,21,38,55,69,82,95,132,15.6277628391397
"NUSAP1",0,0,0,0,1,5,10,25,51,77,93,128,172,15.5740697925919
"RPS28",0,0,0,0,0,5,19,47,59,73,83,102,142,15.572637782448
"FAM83B",0,0,0,0,0,0,2,20,45,95,150,245,382,15.5363115750523
"TMEM40",0,0,0,0,0,0,4,20,43,84,138,223,370,15.5118028429794
"RRM2",0,0,0,0,1,5,11,25,44,66,94,125,180,15.4845395135089
"HAPLN1",0,0,0,0,0,0,2,21,53,88,140,215,366,15.4457624737511
"RPS12",0,0,0,0,0,6,25,43,63,72,78,86,115,15.4270846089462
"ARL4C",0,0,0,0,0,0,2,16,42,84,145,250,427,15.4263508015104
"RPL6",0,0,0,0,0,0,14,31,57,77,98,140,238,15.3959388601528
"RPSA",0,0,0,0,0,3,12,30,58,70,86,114,197,15.3940295657492
"RPL38",0,0,0,0,0,0,15,37,56,75,94,135,223,15.3799754128709
"ECEL1",0,0,0,0,0,1,2,12,49,79,129,237,361,15.3599369576063
"CENPU",0,0,0,0,0,5,13,18,38,70,94,135,190,15.2851191271316
"EXPH5",0,0,0,0,0,0,3,14,37,76,142,235,383,15.2530208784769
"RPS23",0,0,0,0,0,0,14,38,58,72,90,127,199,15.2294609743617
"COL17A1",0,0,0,0,0,0,1,21,42,83,142,229,355,15.1980840530738
"RPS20",0,0,0,0,0,6,18,39,57,71,76,89,108,15.193765790991
"RPS5",0,0,0,0,0,1,12,27,55,69,83,123,206,15.1695995095544
"PBK",0,0,0,0,2,3,8,22,45,71,86,113,151,15.1384802297173
"TPM2",0,0,0,0,0,0,0,14,48,95,152,248,424,15.1277838647701
"MT1F",0,0,0,0,0,0,0,14,42,92,160,262,413,15.0969375821142
"RANBP1",0,0,0,0,1,1,3,9,22,55,126,239,416,15.0853085511599
"RACK1",0,0,0,0,0,0,6,22,43,66,107,174,269,15.0535159161211
"STARD10",0,0,0,0,0,0,1,14,41,80,130,236,370,15.0127234523371
"EIF4EBP1",0,0,0,0,0,0,0,7,41,98,165,284,462,15.0038972468801
"CXCR4",0,0,0,0,0,0,0,15,45,90,145,235,393,14.991264686573
"TK1",0,0,0,0,0,5,11,17,36,62,91,121,164,14.9481351974907
"RPS21",0,0,0,0,0,1,16,33,51,65,82,98,130,14.8393125832586
"ESRP1",0,0,0,0,0,0,1,12,36,73,134,219,372,14.8286304921936
"RPL3",0,0,0,0,0,2,7,24,45,66,77,112,192,14.8235446629461
"PCLAF",0,0,0,0,0,5,9,17,33,57,86,119,178,14.817210352551
"VIT",0,0,0,0,0,0,2,6,34,79,136,233,389,14.8109758645136
"SCUBE1",0,0,0,0,0,0,0,10,44,87,149,226,378,14.7810425923005
"TPD52L1",0,0,0,0,0,0,0,15,40,77,135,226,354,14.7323040930603
"RPLP2",0,0,0,0,0,2,9,30,52,71,80,98,120,14.7253305713374
"ENO1",0,0,1,3,4,4,6,7,11,29,84,155,273,14.7199787177953
"ZWINT",0,0,0,0,0,2,8,18,38,59,87,121,174,14.6742216600573
"DOCK9",0,0,0,0,0,0,1,14,35,69,120,202,334,14.6674459701564
"THY1",0,0,0,0,0,0,1,8,33,80,137,214,359,14.6639181216996
"ST8SIA3",0,0,0,1,3,5,13,17,24,40,59,96,139,14.6166134612473
"ROPN1",0,0,0,0,0,0,1,11,32,66,121,215,331,14.5530552344761
"TINCR",0,0,0,0,0,0,0,16,38,67,120,215,338,14.5413938454549
"BCHE",0,0,0,0,0,0,0,9,42,77,128,203,359,14.4816649417526
"CLDN3",0,0,0,0,0,0,0,14,35,66,118,215,352,14.4650391152701
"ERP27",0,0,0,0,0,0,1,12,34,61,120,193,300,14.4400764439764
"MARVELD3",0,0,0,0,0,0,0,9,36,72,125,212,365,14.4046188334216
"RPL12",0,0,0,0,0,2,8,24,45,68,77,88,107,14.3588614734834
"IRF6",0,0,0,0,0,0,0,15,31,69,120,190,323,14.3393964083517
"SLC2A14",0,0,0,0,0,1,3,7,27,57,100,163,275,14.3061340357573
"MCM10",0,0,0,0,0,2,10,18,25,45,75,114,172,14.3055889146996
"KCNQ2",0,0,0,0,0,0,0,7,30,77,123,210,371,14.264976018481
"NDC80",0,0,0,0,0,2,7,16,37,55,80,99,134,14.208740933703
"CLSPN",0,0,0,0,0,1,7,16,31,46,79,118,179,14.2066996865095
"COBLL1",0,0,0,0,0,0,0,4,29,69,135,217,340,14.0219424428089
"METRN",0,0,0,0,0,0,0,3,27,68,138,230,384,14.0200824831474
"TMSB15A",0,0,0,0,0,0,2,5,15,45,115,223,397,14.0158597516339
"STON2",0,0,0,0,0,0,0,5,33,65,115,198,340,13.9795745049592
"TM7SF2",0,0,0,0,0,0,0,5,22,62,131,212,353,13.9166028984402
"IRX2",0,0,0,0,0,0,0,5,27,59,117,208,357,13.9149916341766
"ETHE1",0,0,0,0,0,0,0,5,28,64,121,191,331,13.8892270737486
"FXYD6",0,0,0,0,0,0,0,3,31,70,125,199,347,13.888315919834
"CENPK",0,0,0,0,0,0,5,14,27,53,83,119,177,13.8819235402546
"ACSM1",0,0,0,0,0,0,1,4,19,61,120,197,318,13.8560426290965
"EPHX1",0,0,0,0,0,0,0,3,27,63,124,206,348,13.7944518966137
"FANCI",0,0,0,0,0,1,4,10,27,47,79,114,164,13.741436551796
"ACKR3",0,0,0,0,0,0,0,6,22,57,116,185,323,13.7316849156952
"PSME1",0,0,0,0,0,0,0,5,22,59,115,192,314,13.6861093996585
"MDK",0,0,0,0,0,0,0,5,24,49,106,191,355,13.6644674688205
"TRIM38",0,0,0,0,0,0,0,5,25,57,107,181,313,13.6477503630789
"WNT3A",0,0,1,1,1,5,10,18,25,30,45,62,84,13.6329490512253
"RPL4",0,0,0,0,0,0,2,11,33,55,84,107,185,13.6274873076517
"ANKFN1",0,0,0,0,0,2,8,16,26,33,63,92,120,13.6024137246783
"ALX1",0,0,0,0,0,0,0,3,26,65,116,186,301,13.6021101007083
"ZIC2",0,0,0,1,3,4,10,15,24,34,44,62,81,13.5864141023633
"HMGB2",0,0,0,0,0,1,6,12,22,45,71,93,131,13.4922500292366
"RPL30",0,0,0,0,0,0,3,14,44,61,73,88,113,13.48393503431
"LRP2",0,0,0,0,0,0,0,1,22,69,119,212,354,13.4792512115316
"FHOD3",0,0,0,0,0,0,0,1,29,63,111,195,352,13.462486647409
"GPR87",0,0,0,0,0,0,0,6,23,49,98,169,274,13.4241959792802
"ADAMTS19",0,0,0,0,0,0,0,5,28,49,87,171,288,13.4222076952234
"RPL15",0,0,0,0,0,0,5,19,38,54,73,80,89,13.4064596368064
"PDGFC",0,0,0,0,0,0,0,3,21,55,96,182,299,13.307404032235
"RPL28",0,0,0,0,0,0,2,19,36,63,73,85,97,13.3072348529754
